title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
Kanneerum Kinavum,V.T. Bhattathiripad,OUP India,2013-02-28,"This celebrated work in Malayalam literature maps V.T. Bhattathiripad's transformation from a young boy schooled in his ancestral calling of priesthood to a radical writer and activist. Autobiographical in nature, the focus remains on the society as a whole and on the Namboodiri community in particular. The volume also includes an in-depth interview with the author and rare photographs related to the author's life and times.",Literary Criticism,0.0,0.0,0.0,0.0,Unknown,en,0.0
The Golden Goblet,Eṃ. Pi Appan,[Trivandrum?] : Appan,1976,Unknown,Malayalam poetry,86.0,5.0,1.0,0.0,Unknown,en,5.0
Beyond Kerala,"Nirmala Aravind, Prema Jayakumar",Unknown,2011,Unknown,Malayalam fiction,128.0,0.0,0.0,0.0,Unknown,en,0.0
Poovan Banana and the Other Stories,Vaikkaṃ Muhammad Baṣīr,Orient Blackswan,1994,"This carefully selected collection of Vaikom Muhammad Basheer s short stories are characterised by a variety in theme and tone. He has enshrined in them every kind of experience from the pangs of hunger and sex to the rapture of mystic vision. Its range includes stark realistic pictures of the material world as well as the realm of fantasy haunted by ghosts and spirits. Basheer has written on love and hate, on politicians and pickpockets, on the fancies of childhood and on the disillusionments of adult life with an intense sense of the tragedy of life and at the same time an irrepressible sense of humour.",Fiction,238.0,5.0,1.0,0.0,Unknown,en,5.0
Sugandhi Alias Andal Devanayaki,T.D. Ramakrishnan,Harper Collins,2018-07-25,"'Takes the Malayalam novel to new heights and fresh possibilities.' - The HinduWhen Peter Jeevanandam arrives in Sri Lanka to shoot a movie about a human rights activist ostensibly murdered by the LTTE, the government is more than willing to help. What they don't know is that he is also searching for Sugandhi - an LTTE member, and the love of his life.As Peter stumbles upon and becomes part of a plot to kill the president, reality, history, myth and fiction collide in explosive, illuminating ways.Sugandhi Alias Andal Devanayaki is a daring novel that portrays the violence inherent in both fascism and revolution.Winner of the 2017 Vayalar Award and the Kerala Sahitya Akademi Award.",Fiction,219.0,0.0,0.0,9.99,USD,en,0.0
"Sufi Authorship of Malabar. New Dimensions of Writing and Composing Poetry, Sufi Texts and Comics",Muhamed Riyaz Chenganakkattil,Unknown,2017-09-12,"Research Paper (postgraduate) from the year 2016 in the subject Literature - Comparative Literature, grade: A, Indian Institute of Technology, Delhi (Department of Humanities and Social Science), course: PhD, Religion and Literature, language: English, abstract: This paper deals with the Sufi authorship and new dimensions of writing and composing Poetry, Sufi texts and comics. Sufi authorship has different dimensions, ranging from writing or saying about mysticism, Sufi saints, or divine figures, in new forms of expression, such as poetry, graphic stories and Mushaira. While dealing with this in the tradition of Malabar's Sufi authorship, it is seen in its different nature. Malabar has contributed a lot to the tradition sufi poetry through Mala Poetry written in Arabic-Malayalam such Safala Mala, Muhyuddeen Mala, and poems recited in the mystical insanity. This Mala tradition has given a new facet of Sufi poetry. In this tradition, some Mala poetry has fixed single authors, and others still remain in anonymity of authors while others are shared and collaborative. Adding stories from Prophetic tradition and words of wisdom by Sufs in these poems seem to echo the intertextual and interauthorial aspects Frischkopfean notion of Sufi poetry. And questions arise from appropriating poems to a mad mystic who reached the circle of Jazb, whether his poem is part of his creativity or will it be treated as 'authorless' object due to its composition during one's Sufi madness. Impromptu Sufi poetry is mainly focus of some religious institute based competitions, which differs from the conventional system of Rekhtah/ Mushaira in which lines borrowed from the available Sufi poetry. In this impromptu poem, which is based on final letter of opposite contestant, the reciting person should create his own line from genius and perform it. The line should include some appraisal of prophet, or Sufi saints and it gives some important ideas on the original composition of the poems. Other",,16.0,0.0,0.0,0.0,Unknown,en,0.0
A.R. Rajaraja Varma,K. M. George,New Delhi : Sahitya Akademi,1979,"On A.R. Rajaraja Varma, 1863-1918, Malayalam and Sanskrit scholar.","Authors, Indic",84.0,0.0,0.0,0.0,Unknown,en,0.0
Navīnōttaranirūpaṇaṃ,E. Eṃ Uṇṇikr̥ṣṇan,Unknown,2015,Articles on 20th century Malayalam literature.,Malayalam literature,160.0,0.0,0.0,0.0,Unknown,ml,0.0
South Indian literature,Madhubālā Sinhā,Unknown,2009,Unknown,,0.0,0.0,0.0,0.0,Unknown,en,0.0
Mar̲aporuḷ,Rājīv Śivaśaṅkar,Unknown,2016,Unknown,Malayalam fiction,360.0,0.0,0.0,0.0,Unknown,ml,0.0
Kr̥ṣṇagātha,"Cer̲uśśēri, P. K. Śivasáṅkarappiḷḷa",Unknown,1985,Unknown,Krishna (Hindu deity),50.0,0.0,0.0,0.0,Unknown,ml,0.0
National Bibliography of Indian Literature: Malayalam,,Unknown,Unknown,Unknown,India,0.0,0.0,0.0,0.0,Unknown,en,0.0
Knit India Through Literature Volume I - The South,Sivasankari,Pustaka Digital Media,2024-05-23,"‘Knit India Through Literature...' is a mega literary project, first of its kind in Indian literature, is the result of the penance-yagna done for 16 years by Sivasankari, noted Tamil writer. 'Knit India Through Literature' has inolved intense sourcing, research and translation of literature from 18 Indian languages. The project she says aims to introduce Indians to other Indians through literature and culture and help knit them together. The interviews of stalwart writers from all 18 languages approved by the eighth schedule of Indian Constitution, accompanied by a creative work of the respective writer are published with her travelogues of different regions, along with an indepth article by a scholar on the cultural and literary heritage of each of the language, in four volumes - South, East, West and North respectively. Her travelogues, her interviews and the overview of each literature she has sought, all reveal one important unity... the concern our writers and poets express in their works for the problems that beset our country today. Through her project Sivasankari feels writers can make an invaluable contribution with their writings to change the thinking of the people and help eliminate those problems. In this volume ‘South’ she deals with four languages Malayalam, Kannada, Telugu and Tamil that are spoken in southern region of India.",Fiction,773.0,0.0,0.0,8.74,USD,en,0.0
Nāgārādhana Kēraḷattil,Si. Es Jayakumārikkuññamma,Unknown,2012,"Serpent worship in Kerala, a study.",Serpent,220.0,0.0,0.0,0.0,Unknown,ml,0.0
I Love to Brush My Teeth എനിക്ക് പല്ല് തേയ്ക്കാൻ ഇഷ്ടമാണ്,"Shelley Admont, KidKiddos Books",KidKiddos Books Ltd.,2025-08-07,"English Malayalam bilingual children's book. Perfect for kids studying English or Malayalamas their second language. Little Jimmy doesn’t like to brush his teeth. Even when his mother gives him a brand new orange toothbrush, his favorite color, he doesn’t use it like he is supposed to. But when strange and magical things start happening to Little Jimmy, he begins to realize how important brushing his teeth can be. I love to brush my teeth is a delightful story full of beautiful illustrations sure to get your little ones attention. If your child is having difficulty learning to brush their teeth then this is the book for you to share together. This story may be ideal for reading to your kids at bedtime and enjoyable for the whole family as well!.",Foreign Language Study,70.0,0.0,0.0,6.99,USD,ml,0.0
Tantra Literature of Kerala,N. P. Unni,Unknown,2006,"Exhaustive study of Tantra literature from Kerala, India.",History,520.0,0.0,0.0,0.0,Unknown,en,0.0
Kerala Sanskrit Literature,S. Venkitasubramonia Iyer,"Trivandrum : Department of Sanskrit, University of Kerala",1976,Unknown,Sanskrit literature,532.0,0.0,0.0,0.0,Unknown,en,0.0
The Encyclopaedia Of Indian Literature (Volume Two) (Devraj To Jyoti),Amaresh Datta,Sahitya Akademi,2006,"A Major Activity Of The Sahitya Akademi Is The Preparation Of An Encyclopaedia Of Indian Literature. The Venture, Covering Twenty-Two Languages Of India, Is The First Of Its Kind. Written In English, The Encyclopaedia Gives A Comprehensive Idea Of The Growth And Development Of Indian Literature. The Entries On Authors, Books And General Topics Have Been Tabulated By The Concerned Advisory Boards And Finalised By A Steering Committee. Hundreds Of Writers All Over The Country Contributed Articles On Various Topics. The Encyclopaedia, Planned As A Six-Volume Project, Has Been Brought Out. The Sahitya Akademi Embarked Upon This Project In Right Earnest In 1984. The Efforts Of The Highly Skilled And Professional Editorial Staff Started Showing Results And The First Volume Was Brought Out In 1987. The Second Volume Was Brought Out In 1988, The Third In 1989, The Fourth In 1991, The Fifth In 1992, And The Sixth Volume In 1994. All The Six Volumes Together Include Approximately 7500 Entries On Various Topics, Literary Trends And Movements, Eminent Authors And Significant Works. The First Three Volume Were Edited By Prof. Amaresh Datta, Fourth And Fifth Volume By Mohan Lal And Sixth Volume By Shri K.C.Dutt.",Indic literature,936.0,4.0,5.0,0.0,Unknown,en,20.0
AKASHVANI,"All India Radio (AIR), New Delhi ","All India Radio (AIR),New Delhi",1979-03-18,"""Akashvani"" (English) is a programme journal of ALL INDIA RADIO, it was formerly known as The Indian Listener. It used to serve the listener as a bradshaw of broadcasting ,and give listener the useful information in an interesting manner about programmes, who writes them, take part in them and produce them along with photographs of performing artists. It also contains the information of major changes in the policy and service of the organisation. The Indian Listener (fortnightly programme journal of AIR in English) published by The Indian State Broadcasting Service, Bombay, started on 22 December, 1935 and was the successor to the Indian Radio Times in English, which was published beginning in July 16 of 1927. From 22 August ,1937 onwards, it used to published by All India Radio, New Delhi. From 1950,it was turned into a weekly journal. Later, The Indian listener became ""Akashvani"" (English ) w.e.f. January 5, 1958. It was made fortnightly journal again w.e.f July 1,1983. NAME OF THE JOURNAL: AKASHVANI LANGUAGE OF THE JOURNAL: English DATE, MONTH & YEAR OF PUBLICATION: 18 MARCH, 1979 PERIODICITY OF THE JOURNAL: Weekly NUMBER OF PAGES: 72 VOLUME NUMBER: Vol. XLIV. No. 11 BROADCAST PROGRAMME SCHEDULE PUBLISHED (PAGE NOS): 5-32, 41-70 ARTICLE: 1. Centre-State Financial Relations 2. No more Questions 3. Medical Protection to Children 4. Energy Perspective 5. An Experiment With Book 6. Protein From Cellulose-Waste 7. Chinar : The Pride of Kashmir 8. Namrup Fertilizer Factory -A Decade of Services AUTHOR: 1. M. Y. Ghorpade 2. K. S. Duggal 3. Dr. V. Balagopal Raju 4. Dr. H. N. Sharan 5. E. M. Joseph Venniyoor 6. Dr. Upendranath Biswas 7. Prof. P. N. Pushp 8. B. S. Kalia Document ID : APE-1979 (J-M) Vol-I-11 Prasar Bharati Archives has the copyright in all matters published in this “AKASHVANI” and other AIR journals. For reproduction previous permission is essential.",Antiques & Collectibles,72.0,0.0,0.0,0.0,USD,en,0.0
Sanskrit Dramas,S. Subramonia Iyer,Delhi : Sundeep Prakashan,1984,"Study of twelve Sanskrit plays, 10th-18th century.",Sanskrit drama,354.0,0.0,0.0,0.0,Unknown,en,0.0
AKASHVANI,"Publications Division (India),New Delhi","Publications Division (India),New Delhi",1958-12-28,"""Akashvani"" (English ) is a programme journal of ALL INDIA RADIO ,it was formerly known as The Indian Listener.It used to serve the listener as a bradshaw of broadcasting ,and give listener the useful information in an interesting manner about programmes, who writes them,take part in them and produce them along with photographs of performing artists.It also contains the information of major changes in the policy and service of the organisation. The Indian Listener (fortnightly programme journal of AIR in English) published by The Indian State Broadcasting Service,Bombay ,started on 22 december, 1935 and was the successor to the Indian Radio Times in english, which was published beginning in July 16 of 1927. From 22 August ,1937 onwards, it used to published by All India Radio,New Delhi.In 1950,it was turned into a weekly journal. Later,The Indian listener became ""Akashvani"" (English ) in January 5, 1958. It was made a fortnightly again on July 1,1983. NAME OF THE JOURNAL: Akashvani LANGUAGE OF THE JOURNAL: English DATE,MONTH & YEAR OF PUBLICATION: 28-12-1958 PERIODICITY OF THE JOURNAL: Weekly NUMBER OF PAGES: 48 VOLUME NUMBER: Vol. XXIII, No. 52. BROADCAST PROGRAMME SCHEDULE PUBLISHED(PAGE NOS): 14-48 ARTICLE: 1. THE IDEAL OF DHARMA IN RAGHUVAMSA 2. PRAHLAD BHAKTA VIJAYA 3. THE DANDAKARANYA SCHEME AUTHOR: 1. DR. ARYENDRA SHARMA 2. THE LATE T. V SUBBA RAO 3. R. K. SAHU Document ID: APE-1958(July-Dec)Vol-I-26 Prasar Bharati Archives has the copyright in all matter published in this and other AIR journals.For reproduction previous permission is essential.",Antiques & Collectibles,48.0,0.0,0.0,0.0,USD,en,0.0
Census of the exact sciences in Sanskrit. A : 4. Series A. - Vol. 4,David Edwin Pingree,American Philosophical Society,1981,Unknown,Sanskrit language,460.0,0.0,0.0,17.95,USD,en,0.0
Mahakavi Ulloor,K. M. George,Trivandrum : Mahakavi Ulloor Memorial Library and Research Institute,1977,"On the life and works of Ulloor S. Parameswara Iyer, 1877-1949, Malayalam litterateur; contributed articles.",,222.0,0.0,0.0,0.0,Unknown,en,0.0
Archiv Orientální,Bedřich Hrozný,Unknown,1930,"Included section ""Book reviews""",Africa,656.0,0.0,0.0,0.0,Unknown,en,0.0
Monographs,"University of California, Berkeley. Language-Behavior Research Laboratory, Verendra Research Society, Rajshahi, Bangladesh",Unknown,1929,Unknown,,274.0,0.0,0.0,0.0,Unknown,en,0.0
Catholic Missions,,Unknown,1921,Unknown,,588.0,0.0,0.0,0.0,Unknown,en,0.0
Tamil Studies,Muttusvami Srinivasa Aiyangar,Unknown,1914,Unknown,Ethnology,460.0,0.0,0.0,0.0,Unknown,en,0.0
"Population Index Bibliography, Cumulated 1935-1968 by Authors and Geographical Areas",Princeton University. Office of Population Research,Unknown,1971,Unknown,Demography,788.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Journal of History of Science,,Unknown,1976,Unknown,Science,626.0,0.0,0.0,0.0,Unknown,en,0.0
Two Statues of Pallava Kings and Five Pallava Inscriptions in a Rock-temple at Mahabalipuram,Hosakote Krishna Sastri,Unknown,1926,Unknown,Hindu antiquities,334.0,0.0,0.0,0.0,Unknown,en,0.0
Memoirs of the Archæological Survey of India,,Unknown,1923,Unknown,Excavations (Archaeology),732.0,0.0,0.0,0.0,Unknown,en,0.0
Memoirs of the Archaeological Survey of India,,Unknown,1928,Unknown,Excavations (Archaeology),272.0,0.0,0.0,0.0,Unknown,en,0.0
Encyclopaedic Dictionary of Sanskrit Literature: T-Z and index,"J. N. Bhattacharya, Nilanjana Sarkar",Unknown,2004,Unknown,Sanskrit literature,360.0,0.0,0.0,0.0,Unknown,en,0.0
Peeps and Perceptions,P. V. Ramankutty,Unknown,2003,Study of some of the Sanskrit works.,Sanskrit literature,110.0,0.0,0.0,0.0,Unknown,en,0.0
Knit India Through Literature: The South,Civacaṅkari,Eastwest Books (Madras),1998,Unknown,Literary Collections,448.0,0.0,0.0,0.0,Unknown,en,0.0
Some New Perspectives in Bhāsa Studies,N. P. Unni,Unknown,1992,"Study on the plays of Bhasa, classical Sanskrit dramatist.",,116.0,0.0,0.0,0.0,Unknown,en,0.0
Points of Contact Between Prakrit and Malayalam,Eṃ. Pi Śaṅkuṇṇināyar,Unknown,1995,Unknown,Malayalam language,260.0,0.0,0.0,0.0,Unknown,en,0.0
Vishveshvaranand Indological Series,,Unknown,1972,Unknown,India,228.0,0.0,0.0,0.0,Unknown,en,0.0
Kurukshetra,,Unknown,1961-10,Unknown,India,680.0,0.0,0.0,0.0,Unknown,en,0.0
"Third World Resource Directory, 1994-1995","Thomas P. Fenton, Mary J. Heffron",Unknown,1994,"Topics covered include: children and youth, drugs, education, environment, foreign policy, health, hunger, indigenous people, migration and immigration, population, rainforests, tourism, and women.",Reference,804.0,0.0,0.0,0.0,Unknown,en,0.0
Vidura,,Unknown,1974,Unknown,Journalism,514.0,0.0,0.0,0.0,Unknown,en,0.0
B.H. Blackwell,B.H. Blackwell Ltd,Unknown,1926,Unknown,Antiquarian booksellers,1480.0,0.0,0.0,0.0,Unknown,en,0.0
Bhāsa's Plays,Taruvāgrahāram Gaṇapatiśāstrī,Unknown,1985,Unknown,,168.0,0.0,0.0,0.0,Unknown,en,0.0
The Tamilnadu Journal of Co-operation,,Unknown,1975,Unknown,Cooperation,394.0,0.0,0.0,0.0,Unknown,en,0.0
Bilingual Discourse and Cross-cultural Fertilisation,"Whitney Cox, Vincenzo Vergiani",Ecole française d'Extrême-Orient,2013,Unknown,Comparative literature,482.0,0.0,0.0,0.0,Unknown,en,0.0
House of God,"N. S. Ramaswami, Nā. Ci Irāmacuvāmi",Unknown,1984,Unknown,Hindu temples,222.0,0.0,0.0,0.0,Unknown,en,0.0
History of Science and Technology in India: Mathematics. Astronomy,"G. Kuppuram, K. Kumudamani",Unknown,1990,Unknown,Science,472.0,0.0,0.0,0.0,Unknown,en,0.0
Journal of the Asiatic Society of Bombay,Asiatic Society of Bombay,Unknown,1974,"Vol. 1-new ser., v. 7 include the society's Proceedings for 1841-1929 (title varies).",India,292.0,0.0,0.0,0.0,Unknown,en,0.0
Journal of the Institution of Engineers (India).,,Unknown,1978,Unknown,Civil engineering,478.0,0.0,0.0,0.0,Unknown,en,0.0
Vishveshvaranand Indological Journal,,Unknown,1977,Unknown,India,608.0,0.0,0.0,0.0,Unknown,en,0.0
Missions,Howard Benjamin Grose,Unknown,1912,Unknown,Baptists,1014.0,0.0,0.0,0.0,Unknown,en,0.0
Schriften zur Geschichte und Kultur des alten Orients,,Unknown,1971,Unknown,Asia,794.0,0.0,0.0,0.0,Unknown,en,0.0
Mahakavi Ulloor,Sukumār Al̲ikkōṭȧ,Unknown,1979,"Biography of Ulloor S. Parameswara Iyer, 1877-1949, Malayalam litterateur.","Authors, Malay",124.0,0.0,0.0,0.0,Unknown,en,0.0
The Early History of India from 600 B.C. to the Muhammadan Conquest,Vincent Arthur Smith,Unknown,1908,Unknown,India,534.0,0.0,0.0,0.0,Unknown,en,0.0
Prācī-jyoti,,Unknown,1976,Unknown,India,390.0,0.0,0.0,0.0,Unknown,en,0.0
"Contemporary Authors, Permanent Series",Clare D. Kinsman,Gale Cengage,1978,"Contains alphabetically arranged profiles of published contemporary authors of non-technical works from around the world, each with personal data, addresses, career history, and a list of writings, and in some cases, a list of works in progress, sidelights, and avocational interests; up-to-date through early 1975.",Literary Criticism,576.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian Journal of Medical Research,,Unknown,1988,Unknown,Medicine,750.0,0.0,0.0,0.0,Unknown,en,0.0
Abstracts on Tropical Agriculture,,Unknown,1993,Unknown,Agriculture,744.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Horizons,,Unknown,2007,Unknown,Asia,356.0,0.0,0.0,0.0,Unknown,en,0.0
"Decennial Index to Index India, 1967 to 1976: Author index",,Unknown,1979,Unknown,Index India,750.0,0.0,0.0,0.0,Unknown,en,0.0
Lok Sabha Debates,India. Parliament. Lok Sabha,Unknown,1903,Unknown,India,710.0,0.0,0.0,0.0,Unknown,en,0.0
India Who's who,,Unknown,1990,Unknown,India,586.0,0.0,0.0,0.0,Unknown,en,0.0
Indo-German Review,,Unknown,1971,Unknown,Germany,266.0,0.0,0.0,0.0,Unknown,en,0.0
Annual Bibliography of Indian Archaeology for the Year,Instituut Kern (Rijksuniversiteit te Leiden),Unknown,1929,Unknown,,400.0,0.0,0.0,0.0,Unknown,en,0.0
Bibliography of Indian Archaeology,"Instituut Kern, Leyden",Unknown,1928,Unknown,Archaeology,526.0,0.0,0.0,0.0,Unknown,en,0.0
The March of India,,Unknown,1961,Unknown,India,542.0,0.0,0.0,0.0,Unknown,en,0.0
"The First All India Dalit Writers Conference (held on 8, 9, 10 October 1987 at Exhibition Grounds, Hyderabad, A.P.)",,Unknown,1994,Contributed papers.,Dalits,172.0,0.0,0.0,0.0,Unknown,en,0.0
Social Action Book Review Supplement,,Unknown,1987,Unknown,India,1020.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian Publisher and Bookseller,,Unknown,1957,Unknown,Book industries and trade,834.0,0.0,0.0,0.0,Unknown,en,0.0
Great Britain and the East,,Unknown,1928,Unknown,Eastern question (Balkan),926.0,0.0,0.0,0.0,Unknown,en,0.0
"Lists of Inscriptions, and Sketch of the Dynasties of Southern India",,Unknown,1884,Unknown,India,318.0,5.0,1.0,0.0,Unknown,en,5.0
Memoirs of the American Philosophical Society,David Edwin Pingree,Unknown,1976,Unknown,Divination,228.0,0.0,0.0,0.0,Unknown,en,0.0
The Kādambarī of Bānabhaṭṭa,Bāṇa,Unknown,1920,Unknown,,510.0,0.0,0.0,0.0,Unknown,en,0.0
Library Legislation in India,R. K. Rout,Unknown,1986,Unknown,Library legislation,398.0,0.0,0.0,0.0,Unknown,en,0.0
Asiaweek,,Unknown,1985-10,Unknown,Asia,976.0,0.0,0.0,0.0,Unknown,en,0.0
The Quarterly Journal,"Mythic Society (Bangalore, India)",Unknown,1928,Unknown,India,766.0,0.0,0.0,0.0,Unknown,en,0.0
Research Bulletin,Panjab University,Unknown,1989,Unknown,Research,348.0,0.0,0.0,0.0,Unknown,en,0.0
Proceedings and Transactions of the Indian Oriental Conference,,Unknown,1930,Unknown,Indo-European philology,838.0,0.0,0.0,0.0,Unknown,en,0.0
Union Catalog of Serials,University of Wisconsin--Madison. Libraries,Unknown,1975,Unknown,Periodicals,412.0,0.0,0.0,0.0,Unknown,en,0.0
The Journal of the Bihar Research Society,Bihar Research Society,Unknown,1919,Unknown,Folklore,228.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Recorder & Digest,,Unknown,1957,Unknown,India,720.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian Antiquary,,Unknown,1872,Unknown,India,436.0,2.0,1.0,0.0,Unknown,en,2.0
Annual Bibliography of Indian Archæology for the Year 1926-,Instituut Kern (Rijksuniversiteit te Leiden),Unknown,1930,Unknown,Archaeology,582.0,0.0,0.0,0.0,Unknown,en,0.0
Asian Review,,Unknown,1929,"Beginning in 1895, includes the Proceedings of the East India Association.",Asia,810.0,0.0,0.0,0.0,Unknown,en,0.0
Journal,Bombay Historical Society,Unknown,1928,Unknown,History,768.0,0.0,0.0,0.0,Unknown,en,0.0
"A Supplementary Catalogue of Sanskrit, Pali, and Prakrit Books in the Library of the British Museum Accuired During the Years 1892-1906",British Museum. Department of Oriental Printed Books and Manuscripts,Unknown,1908,Unknown,Pali imprints,568.0,0.0,0.0,0.0,Unknown,en,0.0
The History of India,Mountstuart Elphinstone,Unknown,1905,Unknown,India,812.0,0.0,0.0,0.0,Unknown,en,0.0
The East and the West,,Unknown,1912,Unknown,Missions,506.0,0.0,0.0,0.0,Unknown,en,0.0
Sir Asutosh Memorial Volume,Sir Asutosh Mookerjee,Unknown,1928,Unknown,India,542.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian and Pakistan Year Book,,Unknown,1951,Unknown,India,942.0,0.0,0.0,0.0,Unknown,en,0.0
The Travancore Anchal,N. S. Mooss,Unknown,1973,"On the postal history and postal markings of Travancore, 1861-1950, former princely state in present day Kerala; a study.",Postage stamps,244.0,0.0,0.0,0.0,Unknown,en,0.0
The Encyclopaedia Britannica,Hugh Chisholm,Unknown,1911,Unknown,Encyclopedias and dictionaries,2060.0,0.0,0.0,0.0,Unknown,en,0.0
Early History of Vaishnavism in South India,Sakkottai Krishnaswami Aiyangar,Unknown,1920,Unknown,India,150.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian Geographical Journal,,Unknown,1930,Includes Proceedings of the conferences and annual meetings of the association.,Geography,1118.0,0.0,0.0,0.0,Unknown,en,0.0
"Bulletin of the School of Oriental and African Studies, University of London",,Unknown,1920,Unknown,Oriental philology,1554.0,0.0,0.0,0.0,Unknown,en,0.0
Encyclopedia Britannica,Hugh Chisholm,Unknown,1911,Unknown,Encyclopedias and dictionaries,2068.0,0.0,0.0,0.0,Unknown,en,0.0
"The Vyavahára Mayúkha, in Original, with an English Translation, Also the Yajñavalkya Sṃriti, Complete in Original, with an English Translation and Notes",Vishwanath Narayan Mandlik,Unknown,1880,Unknown,,840.0,0.0,0.0,0.0,Unknown,en,0.0
"The Vyavahára Mayúkha, in Original, with an English Translation, with References to the Mitákshará, the Viramitrodaya, ... , also The Yájñavalkya Smṛiti, complete in Original, with an English Translation & Notes",,Unknown,1880,Unknown,,630.0,0.0,0.0,0.0,Unknown,en,0.0
The Vyavahára Mayúkha,,Unknown,1880,Unknown,,828.0,0.0,0.0,0.0,Unknown,en,0.0
Downfall of Hindu India,Cintāmaṇa Vināyaka Vaidya,Unknown,1926,Unknown,India,526.0,0.0,0.0,0.0,Unknown,en,0.0
pt. 1. General principles and tables,Lewis Dominic Swamikannu Pillai,Unknown,1922,Unknown,"Chronology, Hindu",518.0,0.0,0.0,0.0,Unknown,en,0.0
An Indian Ephemeris A.D. 700 to A.D. 1999: no. 2. Method of the ephemeris ... Ephemeris A.D. 700-A.D. 799,Lewis Dominic Svami-Kannu Pillai,Unknown,1922,Unknown,"Chronology, Hindu",520.0,0.0,0.0,0.0,Unknown,en,0.0
The Cyclopaedia of India and of Eastern and Southern Asia,Edward Balfour,Unknown,1885,Unknown,East Asia,1140.0,0.0,0.0,0.0,Unknown,en,0.0
"An Indian Ephemeris A.D. 700 to A.D. 1799, Showing the Daily Solar and Lunar Reckoning According to the Principal Systems Current in India with Their English Equivalents; Also the Ending Moments of Tithis and Nakshatras, and the Years in Different Eras: A.D., Hijra, Saka, Vikrama, Kaliyuga, Kollam Etc., with a Perpetual Almanac and Other Auxiliary Tables",Lewis Dominic Swamikannu Pillai,Unknown,1922,Unknown,Ephemerides,520.0,0.0,0.0,0.0,Unknown,en,0.0
The Cyclopædia of India and of Eastern and Southern Asia,Edward Balfour,Unknown,1885,Unknown,"Asia, Southeastern",1140.0,0.0,0.0,0.0,Unknown,en,0.0
"The Cyclopaedia of India and of Eastern and Southern Asia, Commercial, Industrial, and Scientific ; Products of the Mineral, Vegetable and Animal Kingdoms, Useful Arts and Manufactures",Edward Balfour,Unknown,1885,Unknown,,1140.0,0.0,0.0,0.0,Unknown,en,0.0
The Encyclopedia Britannica,,Unknown,1911,Unknown,Encyclopedias and dictionaries,976.0,0.0,0.0,0.0,Unknown,en,0.0
The Encyclopaedia Britannica: Italy-Kyshtym,,Unknown,1911,"""The last great work of the age of reason, the final instance when all human knowledge could be presented with a single point of view ... Unabashed optimism, and unabashed racism, pervades many entries in the 11th, and provide its defining characteristics ... Despite its occasional ugliness, the reputation of the 11th persists today because of the staggering depth of knowledge contained with its volumes. It is especially strong in its biographical entries. These delve deeply into the history of men and women prominent in their eras who have since been largely forgotten - except by the historians, scholars""-- The Guardian, https://www.theguardian.com/books/booksblog/2012/apr/10/encyclopedia-britannica-11th-edition.",Encyclopedias and dictionaries,1036.0,0.0,0.0,0.0,Unknown,en,0.0
The Encyclopædia Britannica: Italy-Kyshtym,,Unknown,1911,Unknown,Encyclopedias and dictionaries,1054.0,0.0,0.0,0.0,Unknown,en,0.0
Sanskrit Literature of Kerala,E. Easwaran Nampoothiri,Unknown,1977,Unknown,,162.0,0.0,0.0,0.0,Unknown,en,0.0
The Publisher and Bookseller,,Unknown,1928,Official organ of the book trade of the United Kingdom.,Bibliography,1428.0,0.0,0.0,0.0,Unknown,en,0.0
The Sphere,,Unknown,1909,Unknown,,488.0,0.0,0.0,0.0,Unknown,en,0.0
The Orientalist,,Unknown,1886,Unknown,,538.0,0.0,0.0,0.0,Unknown,en,0.0
It's Writers Paradise,NANDANA REMANAN,WHERE INDIA WRITES PUBLICATION,2021-10-01,"It's Writers Paradise - Have faith in your writing is a handwritten book about different writers across the world which includes carriers, experiences, Life histories, notable works & Notable awards they gained during their lifetime. Here I dedicate this book to all writers and upcoming writers. A writer, I think, is someone who pays attention to the world. So, stay Faithfull to the stories in your head.",Fiction,134.0,0.0,0.0,1.05,USD,en,0.0
Sanskrit Literature of Kerala,E. Easwaran Nampoothiry,Trivandrum : [distribution: College Book House],1972,Unknown,Sanskrit literature,196.0,0.0,0.0,0.0,Unknown,en,0.0
Tales Once Told,Abraham Eraly,Penguin Books India,2006,"A Selection Of Stories Adapted From The Ithihyamala, A Marvellous Treasury Of Legends Of Kerala These Vibrant Fables Evoke A Long-Lost, Never-Never Land: An Enchanted World Of Sorcerers, Exorcists And Yakshis; Eccentric Rajas And Haughty Poets; Martial-Arts Prodigies And Peerless Physicians; Wily Wits And Devious Gadflies; Clever Elephants, Sly Crooks, Gallant Brigands And A Motley Bunch Of Uncommon Common People. Retold By Best-Selling Author Abraham Eraly And Superbly Illustrated By Jayachandran, Tales Once Told Is An Engaging Blend Of Earthy Wisdom And Sparkling Humour.",Fiction,210.0,0.0,0.0,0.0,Unknown,en,0.0
